类型,WindCode,成交日期时间,成交价格,成交数量,成交金额,买卖方向
transaction,000001.SZ,2016-05-04 09:36:24.650000,10.7,1000,10700.0,83
transaction,600000.SH,2016-05-04 09:36:24.710000,18.18,2000,36360.0,66
transaction,000001.SZ,2016-05-04 09:36:26.710000,0.0,100,0.0,32
transaction,000001.SZ,2016-05-04 09:36:26.890000,10.71,1499,16054.0,66
transaction,000001.SZ,2016-05-04 09:36:26.890000,10.71,501,5365.0,66
transaction,000001.SZ,2016-05-04 09:36:27.370000,0.0,200,0.0,32
transaction,000001.SZ,2016-05-04 09:36:27.430000,10.71,99,1060.0,66
transaction,000001.SZ,2016-05-04 09:36:27.430000,10.71,1,10.0,66
transaction,000001.SZ,2016-05-04 09:36:27.690000,10.71,100,1071.0,66
transaction,000001.SZ,2016-05-04 09:36:28.490000,10.71,899,9628.0,66
transaction,000001.SZ,2016-05-04 09:36:28.490000,10.71,601,6436.0,66
transaction,000001.SZ,2016-05-04 09:36:28.980000,0.0,5300,0.0,32
transaction,600000.SH,2016-05-04 09:36:29.060000,18.18,100,1818.0,66
transaction,000001.SZ,2016-05-04 09:36:29.240000,10.71,3000,32130.0,66
transaction,000001.SZ,2016-05-04 09:36:29.370000,10.71,399,4273.0,66
transaction,000001.SZ,2016-05-04 09:36:29.370000,10.71,300,3213.0,66
transaction,000001.SZ,2016-05-04 09:36:29.370000,10.71,301,3223.0,66
transaction,000001.SZ,2016-05-04 09:36:29.420000,10.71,399,4273.0,66
transaction,000001.SZ,2016-05-04 09:36:29.420000,10.71,6101,65341.0,66
transaction,000001.SZ,2016-05-04 09:36:29.770000,10.7,500,5350.0,83
transaction,000001.SZ,2016-05-04 09:36:30.010000,10.71,5300,56763.0,66
transaction,000001.SZ,2016-05-04 09:36:30.480000,0.0,2300,0.0,32
transaction,000001.SZ,2016-05-04 09:36:31.090000,0.0,100,0.0,32
transaction,000001.SZ,2016-05-04 09:36:31.410000,0.0,1300,0.0,32
transaction,600000.SH,2016-05-04 09:36:30.850000,18.18,500,9090.0,66
transaction,000001.SZ,2016-05-04 09:36:33.310000,10.71,300,3213.0,66
transaction,000001.SZ,2016-05-04 09:36:33.350000,10.71,3200,34272.0,66
transaction,000001.SZ,2016-05-04 09:36:34.630000,0.0,10000,0.0,32
transaction,600000.SH,2016-05-04 09:36:33.720000,18.17,400,7268.0,83
transaction,000001.SZ,2016-05-04 09:36:35.260000,10.71,6500,69615.0,66
transaction,000001.SZ,2016-05-04 09:36:35.750000,0.0,1100,0.0,32
transaction,000001.SZ,2016-05-04 09:36:36.020000,0.0,3500,0.0,32
transaction,000001.SZ,2016-05-04 09:36:36.600000,10.71,400,4284.0,66
transaction,000001.SZ,2016-05-04 09:36:37.440000,0.0,200,0.0,32
transaction,600000.SH,2016-05-04 09:36:35.300000,18.17,100,1817.0,66
transaction,600000.SH,2016-05-04 09:36:35.300000,18.18,1500,27270.0,66
transaction,600000.SH,2016-05-04 09:36:35.300000,18.18,1000,18180.0,66
transaction,600000.SH,2016-05-04 09:36:35.300000,18.18,300,5454.0,66
transaction,600000.SH,2016-05-04 09:36:35.300000,18.19,8100,147339.0,66
transaction,600000.SH,2016-05-04 09:36:35.300000,18.19,6000,109140.0,66
transaction,600000.SH,2016-05-04 09:36:35.300000,18.19,3000,54570.0,66
transaction,000001.SZ,2016-05-04 09:36:39.230000,10.7,100,1070.0,83
transaction,000001.SZ,2016-05-04 09:36:40.170000,10.71,3000,32130.0,66
transaction,000001.SZ,2016-05-04 09:36:40.390000,10.71,35000,374850.0,66
transaction,600000.SH,2016-05-04 09:36:39.260000,18.18,300,5454.0,66
transaction,600000.SH,2016-05-04 09:36:39.260000,18.19,6700,121873.0,66
transaction,600000.SH,2016-05-04 09:36:39.260000,18.19,200,3638.0,66
transaction,600000.SH,2016-05-04 09:36:39.260000,18.19,10000,181900.0,66
transaction,600000.SH,2016-05-04 09:36:39.260000,18.19,200,3638.0,66
transaction,600000.SH,2016-05-04 09:36:39.260000,18.19,3800,69122.0,66
transaction,600000.SH,2016-05-04 09:36:39.260000,18.19,5000,90950.0,66
transaction,600000.SH,2016-05-04 09:36:39.260000,18.19,200,3638.0,66
transaction,600000.SH,2016-05-04 09:36:39.260000,18.19,1000,18190.0,66
transaction,600000.SH,2016-05-04 09:36:39.260000,18.19,1000,18190.0,66
