类型,WindCode,日期时间,委托价格,委托数量,委托类别,委托代码
order,000001.SZ,2016-05-04 09:30:02.200000,10.85,1000,0,S
order,000001.SZ,2016-05-04 09:30:02.200000,10.74,100,0,S
order,000001.SZ,2016-05-04 09:30:02.200000,10.68,500,0,S
order,000001.SZ,2016-05-04 09:30:02.200000,10.85,1000,0,S
order,000001.SZ,2016-05-04 09:30:02.210000,10.75,5000,0,S
order,000001.SZ,2016-05-04 09:30:02.210000,10.73,1000,0,S
order,000001.SZ,2016-05-04 09:30:02.220000,10.85,1000,0,S
order,000001.SZ,2016-05-04 09:30:02.220000,10.68,500,0,S
order,000001.SZ,2016-05-04 09:30:02.230000,10.84,10000,0,S
order,000001.SZ,2016-05-04 09:30:02.240000,10.76,1000,0,S
order,000001.SZ,2016-05-04 09:30:02.240000,11.54,20000,0,S
order,000001.SZ,2016-05-04 09:30:02.250000,11.03,500,0,S
order,000001.SZ,2016-05-04 09:30:02.250000,10.68,400,0,S
order,000001.SZ,2016-05-04 09:30:02.250000,0.0,30000,0,C
order,000001.SZ,2016-05-04 09:30:02.250000,0.0,4000,0,C
order,000001.SZ,2016-05-04 09:30:02.270000,10.76,1300,0,S
order,000001.SZ,2016-05-04 09:30:02.300000,10.6,200,0,B
order,000001.SZ,2016-05-04 09:30:02.300000,0.0,15200,V,B
order,000001.SZ,2016-05-04 09:30:02.310000,10.64,500,0,B
order,000001.SZ,2016-05-04 09:30:02.340000,10.69,100,0,B
order,000001.SZ,2016-05-04 09:30:02.340000,10.61,500,0,B
order,000001.SZ,2016-05-04 09:30:02.360000,10.69,1000,0,B
order,000001.SZ,2016-05-04 09:30:02.360000,10.92,10000,0,S
order,000001.SZ,2016-05-04 09:30:02.370000,10.79,100,0,S
order,000001.SZ,2016-05-04 09:30:02.370000,10.6,100,0,B
order,000001.SZ,2016-05-04 09:30:02.380000,10.65,600,0,S
order,000001.SZ,2016-05-04 09:30:02.390000,10.41,400,0,B
order,000001.SZ,2016-05-04 09:30:02.410000,10.69,1000,0,B
order,000001.SZ,2016-05-04 09:30:02.420000,10.88,1000,0,S
order,000001.SZ,2016-05-04 09:30:02.420000,10.88,2000,0,S
order,000001.SZ,2016-05-04 09:30:02.430000,10.68,1600,0,S
order,000001.SZ,2016-05-04 09:30:02.440000,10.76,1000,0,S
order,000001.SZ,2016-05-04 09:30:02.440000,10.58,500,0,B
order,000001.SZ,2016-05-04 09:30:02.450000,11.68,500,0,S
order,000001.SZ,2016-05-04 09:30:02.450000,10.6,10000,0,B
order,000001.SZ,2016-05-04 09:30:02.450000,10.84,100,0,S
order,000001.SZ,2016-05-04 09:30:02.450000,10.96,900,0,S
order,000001.SZ,2016-05-04 09:30:02.470000,10.8,200,0,S
order,000001.SZ,2016-05-04 09:30:02.480000,10.78,1000,0,S
order,000001.SZ,2016-05-04 09:30:02.490000,11.7,800,0,S
order,000001.SZ,2016-05-04 09:30:02.490000,10.73,2000,0,S
order,000001.SZ,2016-05-04 09:30:02.480000,10.51,1500,0,B
order,000001.SZ,2016-05-04 09:30:02.510000,10.96,1000,0,S
order,000001.SZ,2016-05-04 09:30:02.500000,0.0,500,0,C
order,000001.SZ,2016-05-04 09:30:02.530000,10.52,200,0,B
order,000001.SZ,2016-05-04 09:30:02.520000,10.65,6300,0,B
order,000001.SZ,2016-05-04 09:30:02.520000,10.6,2000,0,B
order,000001.SZ,2016-05-04 09:30:02.530000,0.0,500,0,C
order,000001.SZ,2016-05-04 09:30:02.550000,10.68,3000,0,S
order,000001.SZ,2016-05-04 09:30:02.540000,0.0,1000,0,C
order,000001.SZ,2016-05-04 09:30:02.540000,10.63,1200,0,B
order,000001.SZ,2016-05-04 09:30:02.540000,10.71,800,0,S
order,000001.SZ,2016-05-04 09:30:02.540000,10.97,10000,0,S
order,000001.SZ,2016-05-04 09:30:02.560000,10.5,3000,0,B
order,000001.SZ,2016-05-04 09:30:02.560000,10.63,2000,0,B
order,000001.SZ,2016-05-04 09:30:02.560000,10.69,2600,0,S
order,000001.SZ,2016-05-04 09:30:02.570000,10.9,800,0,S
order,000001.SZ,2016-05-04 09:30:02.570000,11.38,1000,0,S
order,000001.SZ,2016-05-04 09:30:02.590000,10.74,1000,0,S
order,000001.SZ,2016-05-04 09:30:02.590000,10.78,1000,0,S
order,000001.SZ,2016-05-04 09:30:02.590000,10.89,100,0,S
order,000001.SZ,2016-05-04 09:30:02.590000,11.68,1000,0,S
order,000001.SZ,2016-05-04 09:30:02.610000,10.72,900,0,S
order,000001.SZ,2016-05-04 09:30:02.620000,10.79,200,0,B
order,000001.SZ,2016-05-04 09:30:02.630000,10.75,400,0,S
order,000001.SZ,2016-05-04 09:30:02.640000,10.69,700,0,B
order,000001.SZ,2016-05-04 09:30:02.630000,10.72,700,0,S
order,000001.SZ,2016-05-04 09:30:02.660000,10.75,2500,0,S
order,000001.SZ,2016-05-04 09:30:02.660000,10.76,1000,0,S
order,000001.SZ,2016-05-04 09:30:02.680000,10.68,200,0,B
order,000001.SZ,2016-05-04 09:30:02.680000,10.68,2000,0,B
order,000001.SZ,2016-05-04 09:30:02.690000,11.28,500,0,S
order,000001.SZ,2016-05-04 09:30:02.690000,0.0,2100,0,C
order,000001.SZ,2016-05-04 09:30:02.700000,10.62,2500,0,B
order,000001.SZ,2016-05-04 09:30:02.700000,11.75,200,0,S
order,000001.SZ,2016-05-04 09:30:02.710000,10.75,3000,0,S
order,000001.SZ,2016-05-04 09:30:02.720000,0.0,500,0,C
order,000001.SZ,2016-05-04 09:30:02.720000,10.87,3120,0,S
order,000001.SZ,2016-05-04 09:30:02.730000,10.69,100,0,B
order,000001.SZ,2016-05-04 09:30:02.720000,10.68,14100,0,S
order,000001.SZ,2016-05-04 09:30:02.730000,0.0,1000,0,C
order,000001.SZ,2016-05-04 09:30:02.730000,10.64,900,0,B
order,000001.SZ,2016-05-04 09:30:02.750000,0.0,500,0,C
order,000001.SZ,2016-05-04 09:30:02.750000,10.68,2000,0,S
order,000001.SZ,2016-05-04 09:30:02.760000,10.74,100,0,S
order,000001.SZ,2016-05-04 09:30:02.780000,11.5,400,0,S
order,000001.SZ,2016-05-04 09:30:02.780000,10.5,2000,0,B
order,000001.SZ,2016-05-04 09:30:02.790000,10.96,200,0,S
order,000001.SZ,2016-05-04 09:30:02.820000,11.75,15000,0,S
order,000001.SZ,2016-05-04 09:30:02.830000,10.65,10000,0,B
order,000001.SZ,2016-05-04 09:30:02.830000,10.69,500,0,S
order,000001.SZ,2016-05-04 09:30:02.840000,10.75,100,0,S
order,000001.SZ,2016-05-04 09:30:02.840000,11.75,500,0,S
order,000001.SZ,2016-05-04 09:30:02.850000,10.69,2000,0,B
order,000001.SZ,2016-05-04 09:30:02.850000,10.6,400,0,B
order,000001.SZ,2016-05-04 09:30:02.850000,10.51,3000,0,B
order,000001.SZ,2016-05-04 09:30:02.870000,10.51,1000,0,B
order,000001.SZ,2016-05-04 09:30:02.870000,10.71,2000,0,S
order,000001.SZ,2016-05-04 09:30:02.870000,10.71,1000,0,S
order,000001.SZ,2016-05-04 09:30:02.870000,10.5,600,0,B
order,000001.SZ,2016-05-04 09:30:02.880000,10.79,100,0,S
order,000001.SZ,2016-05-04 09:30:02.880000,10.59,2000,0,B
order,000001.SZ,2016-05-04 09:30:02.900000,10.68,27500,0,S
order,000001.SZ,2016-05-04 09:30:02.900000,11.0,500,0,S
order,000001.SZ,2016-05-04 09:30:02.910000,10.52,300,0,B
order,000001.SZ,2016-05-04 09:30:02.910000,10.98,1000,0,S
order,000001.SZ,2016-05-04 09:30:02.920000,10.7,25700,0,S
order,000001.SZ,2016-05-04 09:30:02.930000,10.99,1000,0,S
order,000001.SZ,2016-05-04 09:30:02.940000,10.71,1700,0,S
order,000001.SZ,2016-05-04 09:30:02.940000,9.61,4200,0,B
order,000001.SZ,2016-05-04 09:30:02.940000,10.68,2000,0,S
order,000001.SZ,2016-05-04 09:30:02.950000,11.06,3300,0,S
order,000001.SZ,2016-05-04 09:30:02.990000,10.77,20000,0,S
order,000001.SZ,2016-05-04 09:30:03.000000,0.0,300,0,C
order,000001.SZ,2016-05-04 09:30:03.030000,10.31,700,0,B
order,000001.SZ,2016-05-04 09:30:03.030000,10.75,15000,0,S
order,000001.SZ,2016-05-04 09:30:03.030000,10.58,1000,0,B
order,000001.SZ,2016-05-04 09:30:03.040000,10.5,500,0,B
order,000001.SZ,2016-05-04 09:30:03.050000,10.69,2000,0,S
order,000001.SZ,2016-05-04 09:30:03.050000,10.61,1700,0,B
order,000001.SZ,2016-05-04 09:30:03.040000,0.0,500,0,C
order,000001.SZ,2016-05-04 09:30:03.060000,10.8,100,0,S
order,000001.SZ,2016-05-04 09:30:03.070000,11.75,100,0,S
order,000001.SZ,2016-05-04 09:30:03.070000,10.77,2000,0,S
order,000001.SZ,2016-05-04 09:30:03.070000,10.68,1000,0,B
order,000001.SZ,2016-05-04 09:30:03.090000,11.49,500,0,S
order,000001.SZ,2016-05-04 09:30:03.110000,10.67,50000,0,B
order,000001.SZ,2016-05-04 09:30:03.110000,10.67,21400,0,B
order,000001.SZ,2016-05-04 09:30:03.130000,10.88,2000,0,S
order,000001.SZ,2016-05-04 09:30:03.140000,0.0,1700,0,C
order,000001.SZ,2016-05-04 09:30:03.140000,11.14,500,0,S
order,000001.SZ,2016-05-04 09:30:03.140000,10.68,500,0,S
order,000001.SZ,2016-05-04 09:30:03.150000,10.97,3000,0,S
order,000001.SZ,2016-05-04 09:30:03.160000,11.4,2000,0,S
order,000001.SZ,2016-05-04 09:30:03.160000,10.79,10000,0,S
order,000001.SZ,2016-05-04 09:30:03.160000,10.68,300,0,S
order,000001.SZ,2016-05-04 09:30:03.170000,10.76,1600,0,S
order,000001.SZ,2016-05-04 09:30:03.170000,0.0,500,0,C
order,000001.SZ,2016-05-04 09:30:03.170000,0.0,1800,0,C
order,000001.SZ,2016-05-04 09:30:03.170000,10.68,20000,0,S
order,000001.SZ,2016-05-04 09:30:03.180000,10.6,300,0,B
order,000001.SZ,2016-05-04 09:30:03.180000,10.68,1000,0,B
order,000001.SZ,2016-05-04 09:30:03.190000,10.82,100,0,B
order,000001.SZ,2016-05-04 09:30:03.210000,10.66,7500,0,B
order,000001.SZ,2016-05-04 09:30:03.210000,0.0,100,0,C
order,000001.SZ,2016-05-04 09:30:03.210000,10.71,2500,0,S
order,000001.SZ,2016-05-04 09:30:03.210000,10.68,5000,0,S
order,000001.SZ,2016-05-04 09:30:03.210000,10.42,300,0,B
order,000001.SZ,2016-05-04 09:30:03.230000,10.71,46000,0,S
